 Name , Training Dataset , Backbone , 1-IoU@Multi-Granularity , 1-IoU@COCO(Max,Oracle) , download ,Unnamed: 8
 Semantic-SAM ,config , SA-1B , SwinT ,88.1,54.5,73.8, model 
 Semantic-SAM ,config , SA-1B , SwinL ,89.0,55.1,74.1, model 
