 Resolution , Model Size , Data , #iterations , Batch Size , URL 
 mainly 144p & 240p , 700M , 10M videos + 2M images , 100k , dynamic , 🔗 
 144p to 720p , 700M , 500K HQ videos + 1M images , 4k , dynamic , 🔗 
