 Model , Dimension , Input Dimension , Output Dimension , Feedforward Dimension , Frequency Dimension , Number of Heads , Number of Layers 
 1.3B ,1536,16,16,8960,256,12,30
 14B ,5120,16,16,13824,256,40,40
