 Metric              , Value      
 cosine_accuracy@1   ,0.4737
 cosine_accuracy@3   ,0.8947
 cosine_accuracy@5   ,0.9474
 cosine_accuracy@10  ,0.9474
 cosine_precision@1  ,0.4737
 cosine_precision@3  ,0.2982
 cosine_precision@5  ,0.1895
 cosine_precision@10 ,0.0947
 cosine_recall@1     ,0.4737
 cosine_recall@3     ,0.8947
 cosine_recall@5     ,0.9474
 cosine_recall@10    ,0.9474
 cosine_ndcg@10  ,0.7528
 cosine_mrr@10       ,0.686
 cosine_map@100      ,0.6893
