# , Tasks  ,Version,Filter,n-shot,    Metric     ,Value ,   ,Stderr
# ,--------,------:,------,-----:,---------------,-----:,---,------
# ,wikitext,      2,none  ,     0,word_perplexity,9.4686,±  ,N/A   
# ,,,none  ,     0,byte_perplexity,1.5225,±  ,N/A   
# ,,,none  ,     0,bits_per_byte  ,0.6065,±  ,N/A   
