# , Tasks  ,Version,Filter,n-shot,    Metric     ,Value ,   ,Stderr
# ,--------,------:,------,-----:,---------------,-----:,---,------
# ,wikitext,      2,none  ,     0,word_perplexity,8.7071,±  ,N/A   
# ,,,none  ,     0,byte_perplexity,1.4989,±  ,N/A   
# ,,,none  ,     0,bits_per_byte  ,0.5839,±  ,N/A   
