 Hyperparameter , Value 
 learning_rate  , 1e-5 
 batch_size     , 4    
 num_epochs     , 3     
 warmup_ratio   ,  0.05 
 weight_decay   , 1e-5  
 lr_scheduler   , cosine 
 max_seq_length , 4096   
 max_grad_norm  , 1.0   
 gradient_accumulation_steps , 1 
