 Metric              , Value      
 cosine_accuracy@1   ,0.5263
 cosine_accuracy@3   ,0.7895
 cosine_accuracy@5   ,0.9474
 cosine_accuracy@10  ,1.0
 cosine_precision@1  ,0.5263
 cosine_precision@3  ,0.2632
 cosine_precision@5  ,0.1895
 cosine_precision@10 ,0.1
 cosine_recall@1     ,0.5263
 cosine_recall@3     ,0.7895
 cosine_recall@5     ,0.9474
 cosine_recall@10    ,1.0
 cosine_ndcg@10  ,0.7641
 cosine_mrr@10       ,0.6886
 cosine_map@100      ,0.6886
