 Metric              , Value      
 cosine_accuracy@1   ,0.4737
 cosine_accuracy@3   ,0.7895
 cosine_accuracy@5   ,0.8947
 cosine_accuracy@10  ,0.9474
 cosine_precision@1  ,0.4737
 cosine_precision@3  ,0.2632
 cosine_precision@5  ,0.1789
 cosine_precision@10 ,0.0947
 cosine_recall@1     ,0.4737
 cosine_recall@3     ,0.7895
 cosine_recall@5     ,0.8947
 cosine_recall@10    ,0.9474
 cosine_ndcg@10  ,0.7278
 cosine_mrr@10       ,0.6553
 cosine_map@100      ,0.659
