 Hyperparameter , Value 
 learning_rate  , 1e-6 
 batch_size     , 4    
 num_epochs     , 1     
 warmup_ratio   ,  0.05 
 weight_decay   , 1e-5  
 lr_scheduler   , cosine 
 max_seq_length , 4096   
 gradient_accumulation_steps , 1 
